DIRNAME  NELM  EDIFF  CHECK_1  CHECK_2  STEPS   TIME(HR)
00337    YES   YES    YES      YES      21      .604
00338    YES   YES    YES      YES      21      .870
00339    YES   YES    YES      YES      23      .712
00340    YES   YES    YES      YES      19      .393
00341    YES   YES    YES      YES      23      1.929
00342    YES   YES    YES      YES      20      .634
00343    YES   YES    YES      YES      23      .733
00344    YES   YES    YES      YES      20      .650
00345    YES   YES    YES      YES      21      2.606
00346    YES   YES    YES      YES      21      1.781
00347    YES   YES    YES      YES      23      3.109
00348    YES   YES    YES      YES      23      .423
00349    YES   YES    YES      YES      21      .557
00350    YES   YES    YES      YES      21      .694
00351    YES   YES    YES      YES      19      .412
00352    YES   YES    YES      YES      19      .404
00353    YES   YES    YES      YES      21      .558
00354    YES   YES    YES      YES      21      .684
00355    YES   YES    YES      YES      19      .405
00356    YES   YES    YES      YES      20      .372
Tot/Ave  356   357    356      356      22.275  .867

Ave. elec. steps:  22.275           Spread: 1.527
Ave. time (hrs):   .867            Spread: .826
Percent completed: 100.00 %
